front	back	tags	front_reading	meaning
その方針には、ちょっと懸念があります。	"<div class=""back-reading"">そのほうしんには、ちょっとけねんがあります。</div>
<div class=""back-meaning"">那个方针，我有点顾虑。</div>
<div class=""back-structure"">方針(ほうしん) = 方针 ＋ 懸念(けねん)がある = 有担忧</div>
<div class=""back-expand"">委婉反对：「反対」太直，「懸念があります」更得体</div>"	japanese personal_top100 work opinion	そのほうしんには、ちょっとけねんがあります。	那个方针，我有点顾虑。
まず全体像を理解してから、詳細に入りましょう。	"<div class=""back-reading"">まずぜんたいぞうをりかいしてから、しょうさいにはいりましょう。</div>
<div class=""back-meaning"">先理解整体，再进入细节吧。</div>
<div class=""back-structure"">全体像(ぜんたいぞう) = 全貌 ＋ 〜てから = …之后再 ＋ 詳細(しょうさい) = 细节</div>
<div class=""back-expand"">讲解/教学口头禅</div>"	japanese personal_top100 work teaching	まずぜんたいぞうをりかいしてから、しょうさいにはいりましょう。	先理解整体，再进入细节吧。
暗記より、なぜそうなるのかを考えた方がいいですよ。	"<div class=""back-reading"">あんきより、なぜそうなるのかをかんがえたほうがいいですよ。</div>
<div class=""back-meaning"">比起死记，不如想想为什么会这样。</div>
<div class=""back-structure"">暗記(あんき) = 死记 ＋ なぜ〜のか = 为什么… ＋ 〜た方がいい = 最好…</div>
<div class=""back-expand"">第一性原理的教学口吻</div>"	japanese personal_top100 work teaching	あんきより、なぜそうなるのかをかんがえたほうがいいですよ。	比起死记，不如想想为什么会这样。
住民票を取りたいんですが、どうすればいいですか？	"<div class=""back-reading"">じゅうみんひょうをとりたいんですが、どうすればいいですか。</div>
<div class=""back-meaning"">我想开住民票，该怎么办？</div>
<div class=""back-structure"">住民票(じゅうみんひょう) = 居民登记证明 ＋ どうすればいいですか = 该怎么做才好</div>
<div class=""back-expand"">役所万能问句：〜たいんですが、どうすれば…</div>"	japanese personal_top100 admin polite	じゅうみんひょうをとりたいんですが、どうすればいいですか。	我想开住民票，该怎么办？
引っ越したので、住所の変更をお願いします。	"<div class=""back-reading"">ひっこしたので、じゅうしょのへんこうをおねがいします。</div>
<div class=""back-meaning"">我搬家了，麻烦办一下地址变更。</div>
<div class=""back-structure"">引(ひ)っ越す = 搬家 ＋ 〜ので = 因为 ＋ 住所変更(じゅうしょへんこう) = 地址变更</div>
<div class=""back-expand"">役所/在留卡通用</div>"	japanese personal_top100 admin	ひっこしたので、じゅうしょのへんこうをおねがいします。	我搬家了，麻烦办一下地址变更。
在留カードの住所も更新しないといけませんか？	"<div class=""back-reading"">ざいりゅうカードのじゅうしょもこうしんしないといけませんか。</div>
<div class=""back-meaning"">在留卡的地址也得更新吗？</div>
<div class=""back-structure"">在留(ざいりゅう)カード = 在留卡 ＋ 〜ないといけませんか = 必须…吗</div>
<div class=""back-expand"">〜ないといけない = 必须(口语高频)</div>"	japanese personal_top100 admin visa	ざいりゅうカードのじゅうしょもこうしんしないといけませんか。	在留卡的地址也得更新吗？
永住権を申請したいんですが、何が必要ですか？	"<div class=""back-reading"">えいじゅうけんをしんせいしたいんですが、なにがひつようですか。</div>
<div class=""back-meaning"">我想申请永住，需要哪些材料？</div>
<div class=""back-structure"">永住権(えいじゅうけん) = 永住权 ＋ 申請(しんせい) = 申请 ＋ 何が必要 = 需要什么</div>
<div class=""back-expand"">永住申请窗口必备</div>"	japanese personal_top100 admin visa	えいじゅうけんをしんせいしたいんですが、なにがひつようですか。	我想申请永住，需要哪些材料？
高度専門職のポイントの計算について聞きたいです。	"<div class=""back-reading"">こうどせんもんしょくのポイントのけいさんについてききたいです。</div>
<div class=""back-meaning"">我想问一下高度专门职的打分计算。</div>
<div class=""back-structure"">高度専門職(こうどせんもんしょく) = 高度人才签证 ＋ 〜について = 关于… ＋ 計算(けいさん)</div>
<div class=""back-expand"">你的签证类别，入管必问</div>"	japanese personal_top100 admin visa	こうどせんもんしょくのポイントのけいさんについてききたいです。	我想问一下高度专门职的打分计算。
JLPTのN2に受かれば、点数は上がりますか？	"<div class=""back-reading"">ジェイエルピーティーのエヌツーにうかれば、てんすうはあがりますか。</div>
<div class=""back-meaning"">如果考过 N2，分数会涨吗？</div>
<div class=""back-structure"">〜に受(う)かる = 通过/考上 ＋ 〜ば = 如果 ＋ 点数(てんすう)が上がる = 分数上升</div>
<div class=""back-expand"">受かる⇔落ちる(おちる 没考上)</div>"	japanese personal_top100 admin visa	ジェイエルピーティーのエヌツーにうかれば、てんすうはあがりますか。	如果考过 N2，分数会涨吗？
必要な書類を一覧でいただけますか？	"<div class=""back-reading"">ひつようなしょるいをいちらんでいただけますか。</div>
<div class=""back-meaning"">能给我一份需要材料的清单吗？</div>
<div class=""back-structure"">書類(しょるい) = 文件/材料 ＋ 一覧(いちらん) = 清单 ＋ いただけますか = 能否给我(最礼貌)</div>
<div class=""back-expand"">いただけますか > もらえますか(更恭敬)</div>"	japanese personal_top100 admin polite	ひつようなしょるいをいちらんでいただけますか。	能给我一份需要材料的清单吗？
確定申告は、いつまでに出せばいいですか？	"<div class=""back-reading"">かくていしんこくは、いつまでにだせばいいですか。</div>
<div class=""back-meaning"">报税最晚什么时候交？</div>
<div class=""back-structure"">確定申告(かくていしんこく) = 个人所得税申报 ＋ いつまでに = 截止到何时 ＋ 出(だ)す = 提交</div>
<div class=""back-expand"">〜までに = 在…之前(期限)</div>"	japanese personal_top100 admin tax	かくていしんこくは、いつまでにだせばいいですか。	报税最晚什么时候交？
RSUの税金の扱いがよくわからないんです。	"<div class=""back-reading"">アールエスユーのぜいきんのあつかいがよくわからないんです。</div>
<div class=""back-meaning"">RSU 的税务处理我不太懂。</div>
<div class=""back-structure"">税金(ぜいきん) = 税 ＋ 扱(あつか)い = 处理/对待 ＋ よくわからない = 不太明白</div>
<div class=""back-expand"">税务署/税理士咨询用</div>"	japanese personal_top100 admin tax	アールエスユーのぜいきんのあつかいがよくわからないんです。	RSU 的税务处理我不太懂。
年金はちゃんと払っているか、確認したいです。	"<div class=""back-reading"">ねんきんはちゃんとはらっているか、かくにんしたいです。</div>
<div class=""back-meaning"">我想确认养老金有没有按时缴。</div>
<div class=""back-structure"">年金(ねんきん) = 养老金 ＋ ちゃんと = 好好地 ＋ 〜か確認したい = 想确认是否…</div>
<div class=""back-expand"">永住审查会看缴纳记录</div>"	japanese personal_top100 admin	ねんきんはちゃんとはらっているか、かくにんしたいです。	我想确认养老金有没有按时缴。
この手続きは、どのくらい時間がかかりますか？	"<div class=""back-reading"">このてつづきは、どのくらいじかんがかかりますか。</div>
<div class=""back-meaning"">这个手续大概要多久？</div>
<div class=""back-structure"">手続(てつづ)き = 手续 ＋ どのくらい = 多久 ＋ 時間がかかる = 花时间</div>
<div class=""back-expand"">役所/银行万能问句</div>"	japanese personal_top100 admin polite	このてつづきは、どのくらいじかんがかかりますか。	这个手续大概要多久？
窓口はどちらに行けばいいですか？	"<div class=""back-reading"">まどぐちはどちらにいけばいいですか。</div>
<div class=""back-meaning"">我该去哪个窗口？</div>
<div class=""back-structure"">窓口(まどぐち) = 窗口/柜台 ＋ どちら = 哪边(礼貌) ＋ 〜ばいい = …就好</div>
<div class=""back-expand"">役所/银行迷路必备</div>"	japanese personal_top100 admin polite	まどぐちはどちらにいけばいいですか。	我该去哪个窗口？
ネットで見た物件について、問い合わせたいんですが。	"<div class=""back-reading"">ネットでみたぶっけんについて、といあわせたいんですが。</div>
<div class=""back-meaning"">我想咨询一下网上看到的房子。</div>
<div class=""back-structure"">物件(ぶっけん) = 房源 ＋ 問(と)い合わせる = 咨询/询问</div>
<div class=""back-expand"">Oakhouse/Sakura House 打电话开场</div>"	japanese personal_top100 housing	ネットでみたぶっけんについて、といあわせたいんですが。	我想咨询一下网上看到的房子。
来月から入居できる部屋はありますか？	"<div class=""back-reading"">らいげつからにゅうきょできるへやはありますか。</div>
<div class=""back-meaning"">有下个月能入住的房间吗？</div>
<div class=""back-structure"">入居(にゅうきょ) = 入住 ＋ 部屋(へや) = 房间</div>
<div class=""back-expand"">入居⇔退去(たいきょ 退租)</div>"	japanese personal_top100 housing	らいげつからにゅうきょできるへやはありますか。	有下个月能入住的房间吗？
内見したいんですが、予約できますか？	"<div class=""back-reading"">ないけんしたいんですが、よやくできますか。</div>
<div class=""back-meaning"">我想看房，能预约吗？</div>
<div class=""back-structure"">内見(ないけん) = 实地看房 ＋ 予約(よやく) = 预约</div>
<div class=""back-expand"">内見 = 租房高频词</div>"	japanese personal_top100 housing	ないけんしたいんですが、よやくできますか。	我想看房，能预约吗？
最寄り駅から歩いて何分くらいですか？	"<div class=""back-reading"">もよりえきからあるいてなんぷんくらいですか。</div>
<div class=""back-meaning"">离最近的车站走路大概几分钟？</div>
<div class=""back-structure"">最寄(もよ)り駅 = 最近的车站 ＋ 歩(ある)いて = 走路 ＋ 何分くらい = 大约几分</div>
<div class=""back-expand"">看房必问</div>"	japanese personal_top100 housing	もよりえきからあるいてなんぷんくらいですか。	离最近的车站走路大概几分钟？
家賃のほかに、共益費はかかりますか？	"<div class=""back-reading"">やちんのほかに、きょうえきひはかかりますか。</div>
<div class=""back-meaning"">除了房租，还有管理费吗？</div>
<div class=""back-structure"">家賃(やちん) = 房租 ＋ 共益費(きょうえきひ) = 公共管理费 ＋ かかる = 产生(费用)</div>
<div class=""back-expand"">共益費/管理費 = 物业费</div>"	japanese personal_top100 housing	やちんのほかに、きょうえきひはかかりますか。	除了房租，还有管理费吗？
契約料は、あとで返ってきますか？	"<div class=""back-reading"">けいやくりょうは、あとでかえってきますか。</div>
<div class=""back-meaning"">签约费之后会退吗？</div>
<div class=""back-structure"">契約料(けいやくりょう) = 签约费 ＋ 返(かえ)ってくる = 退回来</div>
<div class=""back-expand"">Oakhouse 契約料¥5万不退；敷金(しききん)一般退</div>"	japanese personal_top100 housing	けいやくりょうは、あとでかえってきますか。	签约费之后会退吗？
水道とネット代は、家賃に含まれていますか？	"<div class=""back-reading"">すいどうとネットだいは、やちんにふくまれていますか。</div>
<div class=""back-meaning"">水费和网费包含在房租里吗？</div>
<div class=""back-structure"">〜代(だい) = …费 ＋ 〜に含(ふく)まれる = 包含在…里</div>
<div class=""back-expand"">Sakura House 全包，确认必须</div>"	japanese personal_top100 housing	すいどうとネットだいは、やちんにふくまれていますか。	水费和网费包含在房租里吗？
解約するときは、何日前に言えばいいですか？	"<div class=""back-reading"">かいやくするときは、なんにちまえにいえばいいですか。</div>
<div class=""back-meaning"">退租的话，要提前几天说？</div>
<div class=""back-structure"">解約(かいやく) = 解约/退租 ＋ 何日前(なんにちまえ) = 提前几天</div>
<div class=""back-expand"">退租规则必问</div>"	japanese personal_top100 housing	かいやくするときは、なんにちまえにいえばいいですか。	退租的话，要提前几天说？
もう少し家賃の安い部屋はありませんか？	"<div class=""back-reading"">もうすこしやちんのやすいへやはありませんか。</div>
<div class=""back-meaning"">有没有房租再便宜点的房间？</div>
<div class=""back-structure"">もう少し〜 = 再…一点 ＋ 〜ありませんか = 有没有…(委婉)</div>
<div class=""back-expand"">预算 ¥75,000 以内时</div>"	japanese personal_top100 housing	もうすこしやちんのやすいへやはありませんか。	有没有房租再便宜点的房间？
この中古の一戸建て、まだ売っていますか？	"<div class=""back-reading"">このちゅうこのいっこだて、まださっていますか。</div>
<div class=""back-meaning"">这个二手独栋，还在卖吗？</div>
<div class=""back-structure"">中古(ちゅうこ) = 二手 ＋ 一戸建(いっこだ)て = 独栋 ＋ まだ = 还</div>
<div class=""back-expand"">神戸の中古戸建探し用</div>"	japanese personal_top100 housing buy	このちゅうこのいっこだて、まださっていますか。	这个二手独栋，还在卖吗？
固定資産税は、年間どのくらいですか？	"<div class=""back-reading"">こていしさんぜいは、ねんかんどのくらいですか。</div>
<div class=""back-meaning"">固定资产税一年大概多少？</div>
<div class=""back-structure"">固定資産税(こていしさんぜい) = 房产税 ＋ 年間(ねんかん) = 一年</div>
<div class=""back-expand"">买房算账必问</div>"	japanese personal_top100 housing buy	こていしさんぜいは、ねんかんどのくらいですか。	固定资产税一年大概多少？
リフォームにいくらかかるか、見積もりをお願いできますか？	"<div class=""back-reading"">リフォームにいくらかかるか、みつもりをおねがいできますか。</div>
<div class=""back-meaning"">装修要花多少，能帮我出个报价吗？</div>
<div class=""back-structure"">リフォーム = 翻新/装修 ＋ 見積(みつ)もり = 报价/估价 ＋ お願いできますか</div>
<div class=""back-expand"">見積もり = 商务高频「报价单」</div>"	japanese personal_top100 housing buy	リフォームにいくらかかるか、みつもりをおねがいできますか。	装修要花多少，能帮我出个报价吗？
すみません、予約したいんですが。	"<div class=""back-reading"">すみません、よやくしたいんですが。</div>
<div class=""back-meaning"">不好意思，我想预约(看诊)。</div>
<div class=""back-structure"">予約(よやく) = 预约 ＋ 〜たいんですが = 想…(开场铺垫)</div>
<div class=""back-expand"">病院/clinic 电话开场</div>"	japanese personal_top100 health polite	すみません、よやくしたいんですが。	不好意思，我想预约(看诊)。
きのうから、のどが痛くて熱があります。	"<div class=""back-reading"">きのうから、のどがいたくてねつがあります。</div>
<div class=""back-meaning"">从昨天起喉咙痛、还发烧。</div>
<div class=""back-structure"">のどが痛(いた)い = 喉咙痛 ＋ 〜て(并列) ＋ 熱(ねつ)がある = 发烧</div>
<div class=""back-expand"">症状：〜が痛い／熱がある／だるい(乏力)</div>"	japanese personal_top100 health	きのうから、のどがいたくてねつがあります。	从昨天起喉咙痛、还发烧。
三日前から、この症状が続いています。	"<div class=""back-reading"">みっかまえから、このしょうじょうがつづいています。</div>
<div class=""back-meaning"">这症状从三天前开始一直持续。</div>
<div class=""back-structure"">症状(しょうじょう) = 症状 ＋ 続(つづ)く = 持续 ＋ 三日前(みっかまえ) = 三天前</div>
<div class=""back-expand"">回答医生「いつから？」的范式</div>"	japanese personal_top100 health	みっかまえから、このしょうじょうがつづいています。	这症状从三天前开始一直持续。
薬のアレルギーは特にありません。	"<div class=""back-reading"">くすりのアレルギーはとくにありません。</div>
<div class=""back-meaning"">我没有特别的药物过敏。</div>
<div class=""back-structure"">アレルギー = 过敏 ＋ 特(とく)に〜ない = 没有特别…</div>
<div class=""back-expand"">问诊必被问</div>"	japanese personal_top100 health	くすりのアレルギーはとくにありません。	我没有特别的药物过敏。
この薬は、いつ飲めばいいですか？	"<div class=""back-reading"">このくすりは、いつのめばいいですか。</div>
<div class=""back-meaning"">这个药什么时候吃？</div>
<div class=""back-structure"">薬を飲(の)む = 吃药(日语用「喝」) ＋ いつ〜ばいい = 何时…好</div>
<div class=""back-expand"">食後(しょくご 饭后)／食前(しょくぜん 饭前)</div>"	japanese personal_top100 health pharmacy	このくすりは、いつのめばいいですか。	这个药什么时候吃？
保険証を持ってくるのを忘れました。	"<div class=""back-reading"">ほけんしょうをもってくるのをわすれました。</div>
<div class=""back-meaning"">我忘了带保险证。</div>
<div class=""back-structure"">保険証(ほけんしょう) = 健保卡 ＋ 〜のを忘(わす)れる = 忘了做…</div>
<div class=""back-expand"">受付でよくある</div>"	japanese personal_top100 health	ほけんしょうをもってくるのをわすれました。	我忘了带保险证。
副作用は何かありますか？	"<div class=""back-reading"">ふくさようはなにかありますか。</div>
<div class=""back-meaning"">有什么副作用吗？</div>
<div class=""back-structure"">副作用(ふくさよう) = 副作用 ＋ 何かありますか = 有没有什么</div>
<div class=""back-expand"">向药剂师提问</div>"	japanese personal_top100 health pharmacy	ふくさようはなにかありますか。	有什么副作用吗？
処方箋をお願いします。	"<div class=""back-reading"">しょほうせんをおねがいします。</div>
<div class=""back-meaning"">麻烦给我开处方。</div>
<div class=""back-structure"">処方箋(しょほうせん) = 处方笺</div>
<div class=""back-expand"">拿去薬局抓药</div>"	japanese personal_top100 health pharmacy	しょほうせんをおねがいします。	麻烦给我开处方。
二人ですが、席はありますか？	"<div class=""back-reading"">ふたりですが、せきはありますか。</div>
<div class=""back-meaning"">我们两个人，有位子吗？</div>
<div class=""back-structure"">二人(ふたり) = 两人 ＋ 席(せき) = 座位</div>
<div class=""back-expand"">店门口；〜名(めい)样でも</div>"	japanese personal_top100 dining	ふたりですが、せきはありますか。	我们两个人，有位子吗？
おすすめは何ですか？	"<div class=""back-reading"">おすすめはなんですか。</div>
<div class=""back-meaning"">有什么推荐的？</div>
<div class=""back-structure"">おすすめ = 推荐 ＋ 何ですか</div>
<div class=""back-expand"">点菜万能句</div>"	japanese personal_top100 dining	おすすめはなんですか。	有什么推荐的？
これは何が入っていますか？	"<div class=""back-reading"">これはなにがはいっていますか。</div>
<div class=""back-meaning"">这个里面放了什么(食材)？</div>
<div class=""back-structure"">〜が入(はい)っている = 含有/放了…</div>
<div class=""back-expand"">确认食材/过敏</div>"	japanese personal_top100 dining	これはなにがはいっていますか。	这个里面放了什么(食材)？
すみません、注文いいですか？	"<div class=""back-reading"">すみません、ちゅうもんいいですか。</div>
<div class=""back-meaning"">不好意思，可以点单了吗？</div>
<div class=""back-structure"">注文(ちゅうもん) = 点单 ＋ いいですか = 可以吗</div>
<div class=""back-expand"">叫店员时</div>"	japanese personal_top100 dining	すみません、ちゅうもんいいですか。	不好意思，可以点单了吗？
お水をもらえますか？	"<div class=""back-reading"">おみずをもらえますか。</div>
<div class=""back-meaning"">能给我点水吗？</div>
<div class=""back-structure"">お水(みず) ＋ もらえますか = 能给我吗</div>
<div class=""back-expand"">〜をもらえますか = 要东西的礼貌句</div>"	japanese personal_top100 dining	おみずをもらえますか。	能给我点水吗？
お会計、お願いします。	"<div class=""back-reading"">おかいけい、おねがいします。</div>
<div class=""back-meaning"">麻烦结账。</div>
<div class=""back-structure"">お会計(かいけい) = 结账</div>
<div class=""back-expand"">レジで／テーブルで</div>"	japanese personal_top100 dining	おかいけい、おねがいします。	麻烦结账。
カードで払えますか？	"<div class=""back-reading"">カードではらえますか。</div>
<div class=""back-meaning"">能刷卡吗？</div>
<div class=""back-structure"">カードで = 用卡 ＋ 払(はら)える = 能付</div>
<div class=""back-expand"">現金のみ(げんきんのみ) = 只收现金</div>"	japanese personal_top100 dining shopping	カードではらえますか。	能刷卡吗？
温めてもらえますか？	"<div class=""back-reading"">あたためてもらえますか。</div>
<div class=""back-meaning"">(便利店)能帮我加热吗？</div>
<div class=""back-structure"">温(あたた)める = 加热 ＋ 〜てもらえますか</div>
<div class=""back-expand"">コンビニ弁当必用</div>"	japanese personal_top100 shopping conbini	あたためてもらえますか。	(便利店)能帮我加热吗？
袋は要りません。	"<div class=""back-reading"">ふくろはいりません。</div>
<div class=""back-meaning"">不需要袋子。</div>
<div class=""back-structure"">袋(ふくろ) = 袋子 ＋ 要(い)る→要りません = 不需要</div>
<div class=""back-expand"">レジ袋有料化後の定番</div>"	japanese personal_top100 shopping conbini	ふくろはいりません。	不需要袋子。
これ、まだ賞味期限は大丈夫ですか？	"<div class=""back-reading"">これ、まだしょうみきげんはだいじょうぶですか。</div>
<div class=""back-meaning"">这个保质期还没过吧？</div>
<div class=""back-structure"">賞味期限(しょうみきげん) = 保质期 ＋ まだ大丈夫 = 还没问题</div>
<div class=""back-expand"">スーパーで</div>"	japanese personal_top100 shopping	これ、まだしょうみきげんはだいじょうぶですか。	这个保质期还没过吧？
これ、返品できますか？	"<div class=""back-reading"">これ、へんぴんできますか。</div>
<div class=""back-meaning"">这个能退货吗？</div>
<div class=""back-structure"">返品(へんぴん) = 退货 ＋ できますか</div>
<div class=""back-expand"">交換(こうかん) = 换货</div>"	japanese personal_top100 shopping	これ、へんぴんできますか。	这个能退货吗？
領収書をください。	"<div class=""back-reading"">りょうしゅうしょをください。</div>
<div class=""back-meaning"">请给我收据(报销凭证)。</div>
<div class=""back-structure"">領収書(りょうしゅうしょ) = 收据/报销凭证 ＋ ください</div>
<div class=""back-expand"">经费/确定申告用</div>"	japanese personal_top100 shopping	りょうしゅうしょをください。	请给我收据(报销凭证)。
すみません、新宿に行きたいんですが、何線ですか？	"<div class=""back-reading"">すみません、しんじゅくにいきたいんですが、なにせんですか。</div>
<div class=""back-meaning"">不好意思，我想去新宿，坐哪条线？</div>
<div class=""back-structure"">〜線(せん) = …线 ＋ 何線(なにせん) = 哪条线</div>
<div class=""back-expand"">向站务员问路</div>"	japanese personal_top100 transport	すみません、しんじゅくにいきたいんですが、なにせんですか。	不好意思，我想去新宿，坐哪条线？
