front	back	tags	front_reading	meaning
ずっと負けてたけど、やっと勝てた！	"<div class=""back-reading"">ずっとまけてたけど、やっとかてた</div>
<div class=""back-meaning"">一直输，终于赢了！</div>
<div class=""back-structure"">ずっと = 一直 ＋ 負けてた = 一直输(負けていた 缩约) ＋ けど = 但 ＋ やっと = 终于 ＋ 勝てた = 赢了(勝てる 可能形过去)</div>
<div class=""back-expand"">勝つ→勝てた(能赢/赢到了)；情绪句</div>"	japanese daily_phrases casual	ずっとまけてたけど、やっとかてた	一直输，终于赢了！
日本での生活には慣れましたか？	"<div class=""back-reading"">にほんでのせいかつにはなれましたか</div>
<div class=""back-meaning"">习惯日本的生活了吗？</div>
<div class=""back-structure"">日本での生活 = 在日本的生活 ＋ に ＋ 慣れる(なれる) = 习惯 ＋ ましたか</div>
<div class=""back-expand"">关心对方的高频寒暄</div>"	japanese daily_phrases question polite	にほんでのせいかつにはなれましたか	习惯日本的生活了吗？
もう少し丁寧にお願いします。	"<div class=""back-reading"">もうすこしていねいにおねがいします</div>
<div class=""back-meaning"">麻烦说(做)得再仔细/客气一点。</div>
<div class=""back-structure"">もう少し = 再…一点 ＋ 丁寧に(ていねいに) = 仔细地/礼貌地 ＋ お願いします = 拜托</div>
<div class=""back-expand"">听不清或想让对方放慢时用</div>"	japanese daily_phrases request polite	もうすこしていねいにおねがいします	麻烦说(做)得再仔细/客气一点。
リバウンドを取ったら、そのまま攻撃を続けます。	"<div class=""back-reading"">リバウンドをとったら、そのままこうげきをつづけます</div>
<div class=""back-meaning"">抢到篮板后，就直接继续进攻。</div>
<div class=""back-structure"">リバウンドを取る = 抢篮板 ＋ たら = …之后/的话 ＋ そのまま = 就那样 ＋ 攻撃(こうげき)を続ける = 继续进攻</div>"	japanese daily_phrases basketball	リバウンドをとったら、そのままこうげきをつづけます	抢到篮板后，就直接继续进攻。
どちらが先にボールを持ちますか？	"<div class=""back-reading"">どちらがさきにボールをもちますか</div>
<div class=""back-meaning"">哪边先持球？</div>
<div class=""back-structure"">どちら = 哪边 ＋ が ＋ 先に(さきに) = 先 ＋ ボールを持つ = 持球 ＋ ますか</div>"	japanese daily_phrases basketball question polite	どちらがさきにボールをもちますか	哪边先持球？
唐揚げを一つお願いします。	"<div class=""back-reading"">からあげをひとつおねがいします</div>
<div class=""back-meaning"">来一份炸鸡。</div>
<div class=""back-structure"">唐揚げ(からあげ) = 日式炸鸡 ＋ を ＋ 一つ(ひとつ) = 一份 ＋ お願いします = 点餐万能句</div>
<div class=""back-expand"">点单：[东西]を[数量]お願いします</div>"	japanese daily_phrases order polite	からあげをひとつおねがいします	来一份炸鸡。
今どんな気持ち？	"<div class=""back-reading"">いまどんなきもち</div>
<div class=""back-meaning"">现在什么感觉？</div>
<div class=""back-structure"">今 = 现在 ＋ どんな = 怎样的 ＋ 気持ち(きもち) = 心情/感觉 (省略です = 口语)</div>
<div class=""back-expand"">调侃/起哄常用</div>"	japanese daily_phrases casual	いまどんなきもち	现在什么感觉？
気持ちいい！	"<div class=""back-reading"">きもちいい</div>
<div class=""back-meaning"">好舒服！／好爽！</div>
<div class=""back-structure"">気持ち = 感觉 ＋ いい = 好 → 固定形容词「気持ちいい」</div>
<div class=""back-expand"">反义：気持ち悪い(きもちわるい) = 恶心/难受</div>"	japanese daily_phrases casual	きもちいい	好舒服！／好爽！
あの…／えーと…	"<div class=""back-reading"">あの、えーと</div>
<div class=""back-meaning"">嗯…／那个…（开口或思考时的停顿）</div>
<div class=""back-structure"">あの = 引起注意、开口时的「那个…」 ＋ えーと = 思考措辞时的「嗯…让我想想」</div>
<div class=""back-expand"">争取思考时间、避免冷场；最基础的填充词</div>"	japanese connectors filler	あの、えーと	嗯…／那个…（开口或思考时的停顿）
ということ	"<div class=""back-reading"">ということ</div>
<div class=""back-meaning"">也就是说…／就是这么回事</div>
<div class=""back-structure"">…という = 所谓/叫做 ＋ こと = 事情 → 「ということ」归纳总结前面的话</div>
<div class=""back-expand"">つまり〜ということ = 也就是说〜；〜ということですね = 你意思是〜对吧(确认)</div>"	japanese connectors	ということ	也就是说…／就是这么回事
どういう意味？	"<div class=""back-reading"">どういういみ</div>
<div class=""back-meaning"">什么意思？</div>
<div class=""back-structure"">どういう = 怎样的 ＋ 意味(いみ) = 意思 → 没听懂时反问</div>
<div class=""back-expand"">礼貌版：どういう意味ですか？</div>"	japanese connectors question	どういういみ	什么意思？
まさか！	"<div class=""back-reading"">まさか</div>
<div class=""back-meaning"">不会吧！／怎么可能</div>
<div class=""back-structure"">まさか = 表示难以置信、出乎意料(动漫高频)</div>
<div class=""back-expand"">まさか〜とは思わなかった = 没想到竟然〜</div>"	japanese connectors reaction	まさか	不会吧！／怎么可能
それで…／で、	"<div class=""back-reading"">それで、で</div>
<div class=""back-meaning"">然后…／那(结果)呢？</div>
<div class=""back-structure"">それで = 接续前文「于是/然后」；口语常缩成「で、」开头</div>
<div class=""back-expand"">で、どうなった？= 然后呢，后来怎样了？</div>"	japanese connectors conjunction	それで、で	然后…／那(结果)呢？
だから	"<div class=""back-reading"">だから</div>
<div class=""back-meaning"">所以</div>
<div class=""back-structure"">だ ＋ から = 表示结论/原因「所以」</div>
<div class=""back-expand"">だからね = 所以说嘛(带情绪)；语气重时显说教，注意场合</div>"	japanese connectors conjunction	だから	所以
それに	"<div class=""back-reading"">それに</div>
<div class=""back-meaning"">而且、再加上</div>
<div class=""back-structure"">それ ＋ に → 追加信息「而且」</div>
<div class=""back-expand"">安いし、それに美味しい = 又便宜，而且好吃</div>"	japanese connectors conjunction	それに	而且、再加上
じゃあ	"<div class=""back-reading"">じゃあ</div>
<div class=""back-meaning"">那么、那(就)</div>
<div class=""back-structure"">では 的口语缩约 → 转换话题或下结论「那就…」</div>
<div class=""back-expand"">じゃあ、また！= 那回头见！</div>"	japanese connectors conjunction	じゃあ	那么、那(就)
なるほど	"<div class=""back-reading"">なるほど</div>
<div class=""back-meaning"">原来如此</div>
<div class=""back-structure"">相槌(あいづち)，表示理解、认同对方</div>
<div class=""back-expand"">なるほどね = 原来如此啊(更随意)</div>"	japanese connectors aizuchi	なるほど	原来如此
やっぱり	"<div class=""back-reading"">やっぱり</div>
<div class=""back-meaning"">果然／还是…</div>
<div class=""back-structure"">やはり 的口语形 → 「果然如我所料」或「还是…(改主意)」</div>
<div class=""back-expand"">やっぱりやめる = 我还是不做了；やっぱりね = 果然吧</div>"	japanese connectors	やっぱり	果然／还是…
